dgv_organization_id,dgv_organization_name,dgv_nb_datasets,geop_organization_id,geop_organization_name,geoc_organization_name,geoc_organization_uuid,geoc_organization_url
6205247a142c650419d4733e,Saint-Julia,0.0,,,,,
6204e8275f491f6083e9e3ea,Société d'Enlèvement et de NETtoyage,0.0,,,,,
6204e75f281e0f8644faf936,Société d'Enlèvement et de NETtoyage,0.0,,,,,
6204e6ac5f491f6083e9e3e9,Société d'Enlèvement et de NETtoyage,0.0,,,,,
6204e66aea1bca8b549b16eb,SNC PERFOTEL OCEANIA ST GREGOIRE,0.0,,,,,
6204e6065fe77ca423fc8080,Graphical Activity,0.0,,,,,
6204618058bdc98c21b44cc9,Université Gustave Eiffel,0.0,,,,,
6202f2f16539efd147cc85a6,Vie maline,0.0,,,,,
62027d7cbaa278386cc2dc3e,FAUCHE BRETAGNE - GROUPE JEULIN,0.0,,,,,
62022260def8ed25bb5ba4c1,Thonon Agglomération,0.0,,,,,
620172fbbe091529cba2dfa1,MooviBreizh,0.0,,,,,
62013321c2ecc668cce671d4,CAPITAL POINTS,0.0,,,,,
62012f1496e77cf20cfa1a60,BASIC,0.0,,,,,
6200f5fa491ce01a35ed00e3,Mairie de Lacapelle-Pinet,0.0,,,,,
6200dfeba70a9f33f0854650,Trackdéchets,1.0,,,,,
6200d7d28044d0a57e828de7,Aides-territoires,1.0,,,,,
61fe7312a3d164d5fb5b90ab,SECURECHARGE,1.0,,,,,
61fcefe970e256d0a239ba6a,LS SERVICES,10.0,,,,,
61fc26927ffaeef27bda8441,SOCIALEO,0.0,,,,,
61fc10b5285e11c883d018bd,MAIRIE LES TROIS DOMAINES,0.0,,,Mairie de Les Trois domaines,6fc21c45008161fcadd99a9c53e0351f,http://www.geocatalogue.fr/www/dcat/6fc21c45008161fcadd99a9c53e0351f/catalog.rdf
61fc0fb5b9a3f967d7617ca1,Mairie des Trois Domaines,0.0,,,,,
61fbec6da41996eebe636da1,Acte Trois,0.0,,,,,
61fbae275042f44a729067c0,Communauté d'agglomération Chauny-Tergnier-La Fère,0.0,,,,,
61faa88a7965da3ea2ea6fc8,Observatoire des Sciences de l'Univers Nantes Atlantique,0.0,,,,,
61faa7e9025267cd9d756d90,Observatoire des Sciences de l'Univers Nantes Atlantique,0.0,,,,,
61fa9a6d8687febcbe80d6c9,ITSAP - Institut Technique et Scientifique de l'Abeille et de la Pollinisation,0.0,,,,,
61fa6c686734bc15cc7f8a00,Les Echos,0.0,,,,,
61fa6b8d757c9c81d0c38b85,Commune de Louhossoa,1.0,,,,,
61fa621b9d719053e91e76e6,LexImpact,0.0,,,,,
61fa517a61ae308caa4297f8,MANUBOB INDUSTRIE,1.0,,,,,
61fa458844aee6085677a709,Guéthary,1.0,,,,,
61f95a112665f49991577248,TOYOTA FRANCE,2.0,,,,,
61f94d12b0e444e5e125ed06,FLYOPS,1.0,,,,,
61f92af3cbd40cf2c3d11109,Islam de France,0.0,,,,,
61f91393c453d36e793cc2b9,Fédération du Bas-Rhin des Associations Agréées pour la Pêche et la Protection du Milieu Aquatique,0.0,,,,,
61f80b3f982d3cdf8d2b7854,eeMmob,0.0,,,,,
61f803fd0dbbab80a2bbf335,La Bonne Vague,0.0,,,,,
61f7fb5f1aa26562c941d6e1,Thonon Agglomération,0.0,,,,,
61f79f20ce44f49848a118d8,Agence Régionale de Santé Nouvelle-Aquitaine,0.0,,,,,
61f72724e7d2ea9cc7c4b99d,Monzani Mama et figlia,0.0,,,,,
61f723a7701f9618f37c7462,(Emely Banda )Monzani Mama et figlia,0.0,,,,,
61f721315cfcdd4fed1a364e,Émondage Pro Rive-Sud - Services d'arbres,0.0,,,,,
