dgv_organization_id,dgv_organization_name,dgv_nb_datasets,geop_organization_id,geop_organization_name,geop_slug,dgv_slug,geoc_organization_name,geoc_organization_uuid,geoc_organization_url,geoc_slug
61fc10b5285e11c883d018bd,MAIRIE LES TROIS DOMAINES,0.0,,,nan,mairie les trois domaines,Mairie de Les Trois domaines,6fc21c45008161fcadd99a9c53e0351f,http://www.geocatalogue.fr/www/dcat/6fc21c45008161fcadd99a9c53e0351f/catalog.rdf,mairie les trois domaines
61b0b0673c11d387da1df057,Pontivy Communaute,0.0,,,nan,pontivy communaute,Pontivy Communauté,eac49cc9bdb321a31f6150862adc28b7,http://www.geocatalogue.fr/www/dcat/eac49cc9bdb321a31f6150862adc28b7/catalog.rdf,pontivy communaute
61484aaaffc949c8b4971434,Préfecture de la région Hauts-de-France,1.0,,,nan,prefecture la region hauts-de-france,Préfecture de la région Hauts-de-France,0709d43ca86491e10b8d95b9ae7ad916,http://www.geocatalogue.fr/www/dcat/0709d43ca86491e10b8d95b9ae7ad916/catalog.rdf,prefecture la region hauts-de-france
61322119e8f2ff4e8225c747,Préfecture des Landes,0.0,,,nan,prefecture landes,Préfecture des Landes,81bbfc2b3e0c3589fb5f868f157f0f65,http://www.geocatalogue.fr/www/dcat/81bbfc2b3e0c3589fb5f868f157f0f65/catalog.rdf,prefecture landes
60ba2f3eb3735a080f1fbda7,Communauté de Communes de Haute Cornouaille,15.0,,,nan,communaute communes haute cornouaille,Communauté de Communes de Haute Cornouaille,1f9c319f589bbea6f8bbf65bcf6be730,http://www.geocatalogue.fr/www/dcat/1f9c319f589bbea6f8bbf65bcf6be730/catalog.rdf,communaute communes haute cornouaille
60b887112966e85ad4af5d87,Vendée Eau,1.0,,,nan,vendee eau,Vendée Eau,e025e20163c523060771f2d7b4975533,http://www.geocatalogue.fr/www/dcat/e025e20163c523060771f2d7b4975533/catalog.rdf,vendee eau
60af47590c0f0c2ad4d2b3db,GEOPAL,1.0,,,nan,geopal,GéoPAL,bab36dee9674dec90cc6a25bcbbce2be,http://www.geocatalogue.fr/www/dcat/bab36dee9674dec90cc6a25bcbbce2be/catalog.rdf,geopal
60ae1a87d2b49820073b1a8b,GRAND ANNECY Agglomération,6.0,,,nan,grand annecy agglomeration,Grand Annecy Agglomération,a9a1bda97fbc95346022044faecf4811,http://www.geocatalogue.fr/www/dcat/a9a1bda97fbc95346022044faecf4811/catalog.rdf,grand annecy agglomeration
60a3c84131bef0b3b4ef4b98,TIGEO,9.0,,,nan,tigeo,Tigeo,5a33e14720926d8278259f2ed7db2958,http://www.geocatalogue.fr/www/dcat/5a33e14720926d8278259f2ed7db2958/catalog.rdf,tigeo
6076b7bf549a7fe1af5f34d1,Université du Littoral Côte d'Opale,2.0,,,nan,universite littoral côte opale,Université du Littoral Côte d'Opale,6ec1a7b5ce951a8963364aed0e754f81,http://www.geocatalogue.fr/www/dcat/6ec1a7b5ce951a8963364aed0e754f81/catalog.rdf,universite littoral côte opale
607419e9cbc32a2016161e13,MAIRIE,1.0,,,nan,mairie,Mairie,71d05386effde564ffb51038a2e517b5,http://www.geocatalogue.fr/www/dcat/71d05386effde564ffb51038a2e517b5/catalog.rdf,mairie
6050c8aa2728371703b10cc4,Géolittoral,0.0,,,nan,geolittoral,GéoLittoral,65efd34ba5a2697d4d40b1ccd492c500,http://www.geocatalogue.fr/www/dcat/65efd34ba5a2697d4d40b1ccd492c500/catalog.rdf,geolittoral
